magic,coldplay
beat again,jls
rolling in the deep,adele
call me out,sarah close
whatcha say,jason derulo
all star,smashmouth
sandstorm,darude
shooting stars,bag raiders
go,louis the child
good nights,whethan
lovers,anna of the north
bellyache,billie eilish
lights out,royal blood
powerless,linkin park
happier,marshmello
cheat,emily burns
breathin,ariana grande
when the partys over,billie eilish
hero,enrique iglesias
patterns,sarah close
face,brockhampton
come out and play,billie eilish
disturbia,rihanna
relax,frankie goes to hollywood
phone died,louis the child
wallflower,whethan
crazy kind,sarah close
maestro,sarah close
beautiful oblivion,the neighbourhood
cry baby,the neighbourhood
sweater weather,the neighbourhood
sober up,ajr
weak,ajr
enemy,oliver tree
cheapskate,oliver tree
teenage dream,katy perry
best friend,rex orange county
between the bars,elliott smith
flume,bon iver
skinny love,bon iver
boogie,brockhampton
star,brockhampton
sweet,brockhampton
bohemian rhapsody,queen
sicko mode,travis scott
normal,sasha sloan
red flag,billy talent
do I wanna know,arctic monkeys
fluorescent adolescent,arctic monkeys
fire,anna of the north
fire,louis the child
kickstarts,example
thank u next,ariana grande
breaking news,louis the child & RAYE
the wave,elohim
do you believe,sarah close
london,sarah close
baby,justin bieber
call me maybe,carly rae jepsen
Friday,rebecca black
